year,month,day,hour,hourSin,hourCos,upper,lower,PVout,radiation flux,temperature,total precipitation,u-component of wind,v-component of wind,pressure,relative humidity
2022,9,3,15.0,-0.7071067811865471,-0.7071067811865479,6.1017475,0.0,3.0508738,303.3558530807495,25.044244384765648,0.0,-2.4696006774902344,-0.4563636779785156,1013.0933837890624,71.13501930236816
2022,9,3,15.5,-0.7933533402912349,-0.6087614290087209,5.9938493,0.0,2.9969246,254.01156497001648,24.88984069824221,0.0,-2.4127635955810547,-0.5646514892578125,1013.1324768066406,71.79543018341064
2022,9,3,16.0,-0.8660254037844384,-0.5000000000000004,5.9114137,0.0,2.9557068,204.66727685928345,24.735437011718773,0.0,-2.355926513671875,-0.6729393005371094,1013.1715698242188,72.45584106445312
2022,9,3,16.5,-0.9238795325112868,-0.3826834323650895,5.7844796,0.0,2.8922398,162.73426246643066,24.449426269531276,0.0,-2.2528152465820312,-0.727508544921875,1013.2615051269532,74.44978046417236
2022,9,3,17.0,-0.9659258262890683,-0.25881904510252063,5.656515,0.0,2.8282576,120.80124807357788,24.163415527343773,0.0,-2.1497039794921875,-0.7820777893066406,1013.3514404296876,76.4437198638916
2022,9,3,17.5,-0.9914448613738104,-0.13052619222005163,5.552989,0.0,2.7764945,75.88008077442646,23.842004394531276,0.0,-2.0371532440185547,-0.7972545623779297,1013.5171508789062,78.04752159118652
2022,9,3,18.0,-1.0,-1.8369701987210297e-16,5.494072,0.0,2.747036,30.95891347527504,23.520593261718773,0.0,-1.9246025085449217,-0.8124313354492188,1013.682861328125,79.65132331848145
2022,9,3,18.5,-0.9914448613738105,0.13052619222005127,5.5720882,0.0,2.7860441,15.47945673763752,23.27912292480471,0.0,-1.9834518432617188,-0.8952903747558594,1013.9547729492188,80.4694881439209
2022,9,3,19.0,-0.9659258262890684,0.2588190451025203,5.6529016,0.0,2.8264508,0.0,23.037652587890648,0.0,-2.042301177978516,-0.9781494140625,1014.2266845703124,81.28765296936035
2022,9,3,19.5,-0.923879532511287,0.38268343236508917,5.6327314,0.0,2.8163657,0.0,22.878625488281276,0.0,-2.025962829589844,-0.9457683563232422,1014.4887084960938,81.89170932769775
2022,9,3,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,22.719598388671898,0.0,-2.009624481201172,-0.9133872985839844,1014.750732421875,82.49576568603516
2022,9,3,20.5,-0.7933533402912357,0.6087614290087199,0.0,0.0,0.0,0.0,22.631890869140648,0.0,-1.876800537109375,-0.9199600219726562,1014.828155517578,83.09183883666992
2022,9,3,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.0,22.5441833496094,0.0,-1.743976593017578,-0.926532745361328,1014.9055786132812,83.68791198730469
2022,9,3,21.5,-0.6087614290087209,0.7933533402912349,0.0,0.0,0.0,0.0,22.46595153808596,0.0,-1.661783218383789,-0.8726787567138672,1014.7702331542968,84.19127750396729
2022,9,3,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0,0.0,22.387719726562523,0.0,-1.57958984375,-0.8188247680664062,1014.6348876953124,84.69464302062988
2022,9,3,22.5,-0.38268343236508956,0.9238795325112868,0.0,0.0,0.0,0.0,22.259057617187523,0.0,-1.5509071350097656,-0.9351215362548828,1014.5094299316406,85.47052478790283
2022,9,3,23.0,-0.25881904510252157,0.9659258262890681,0.0,0.0,0.0,0.0,22.130395507812523,0.0,-1.5222244262695312,-1.0514183044433594,1014.3839721679688,86.24640655517578
2022,9,3,23.5,-0.13052619222005168,0.9914448613738104,0.0,0.0,0.0,0.0,22.070245361328148,0.03125,-1.330486297607422,-1.126081466674805,1014.1911926269532,86.22675132751465
