year,month,day,hour,hourSin,hourCos,upper,lower,PVout,price,imbalance,PVout_true,price_true,imbalance_true
2023,1,3,14.5,-0.608761429,0.10332333,1.2521756,0,0.6260878,17.664564,18.36403,0.730174483,1.82,0
2023,1,3,15,-0.707106781,0.146446609,1.3741388,0,0.6870694,17.389189,18.260918,0.690189522,5,8.6
2023,1,3,15.5,-0.79335334,0.195619285,1.5590992,0,0.7795496,17.611433,18.765255,0.444663604,15.02,23.31
2023,1,3,16,-0.866025404,0.25,1.7404711,0,0.87023556,17.711874,18.915712,0.294455502,17.5,19.12
2023,1,3,16.5,-0.923879533,0.308658284,1.7194833,0,0.8597416,19.366627,19.780594,0.184862578,18.21,23.57
2023,1,3,17,-0.965925826,0.370590477,1.6885433,0,0.84427166,20.217642,20.240437,0.050124296,23.08,24.53
2023,1,3,17.5,-0.991444861,0.434736904,1.6959324,0,0.8479662,19.535608,19.1478,0.020833203,23.51,23.3
2023,1,3,18,-1,0.5,1.602994,0,0.801497,19.048878,18.30998,0,23.08,23.7
2023,1,3,18.5,-0.991444861,0.565263096,1.6395764,0,0.8197882,18.492851,17.594849,0,23.99,28.53
2023,1,3,19,-0.965925826,0.629409523,1.6773043,0,0.83865213,18.475136,17.470116,0,24.1,22.09
2023,1,3,19.5,-0.923879533,0.691341716,1.6950326,0,0.8475163,18.356804,17.336119,0,24.13,24.21
2023,1,3,20,-0.866025404,0.75,0,0,0,21.4293,21.962547,0,23.83,27.68
2023,1,3,20.5,-0.79335334,0.804380715,0,0,0,21.0418,21.917027,0,23.77,24.66
2023,1,3,21,-0.707106781,0.853553391,0,0,0,20.754484,21.956322,0,23.26,24.36
2023,1,3,21.5,-0.608761429,0.89667667,0,0,0,20.464533,21.994467,0,23.01,28.56
2023,1,3,22,-0.5,0.933012702,0,0,0,20.296434,22.087175,0,21.95,24.85
2023,1,3,22.5,-0.382683432,0.961939766,0,0,0,20.07097,22.060425,0,21.86,23.22
2023,1,3,23,-0.258819045,0.982962913,0,0,0,19.907495,22.034103,0,21.29,23.36
2023,1,3,23.5,-0.130526192,0.995722431,0,0,0,19.750181,21.948952,0,21.35,23.98
2023,1,4,0,0,1,0,0,0,19.17493,21.184074,0,19.85,22.59
2023,1,4,0.5,0.130526192,0.995722431,0,0,0,19.222239,21.202526,0,21.79,21.86
2023,1,4,1,0.258819045,0.982962913,0,0,0,19.372143,21.279472,0,20.71,21.06
2023,1,4,1.5,0.382683432,0.961939766,0,0,0,19.626627,21.41533,0,19.83,21.24
2023,1,4,2,0.5,0.933012702,0,0,0,19.953623,21.637743,0,21.29,20.92
2023,1,4,2.5,0.608761429,0.89667667,0,0,0,20.37388,21.877226,0,19.83,21.35
2023,1,4,3,0.707106781,0.853553391,0,0,0,20.883146,22.123873,0,19.97,21.17
2023,1,4,3.5,0.79335334,0.804380715,0,0,0,21.348833,22.338291,0,19.83,21.59
