,predict,target
1125,10.5639,9.83
1126,10.434884,9.83
1127,10.210372,9.34
1128,9.922219,9.34
1129,9.608517,9.49
1130,9.316924,9.49
1131,9.077941,9.56
1132,8.929935,9.56
1133,8.917123,9.43
1134,9.067825,9.45
1135,9.367009,9.53
1136,9.74466,9.53
1137,10.098329,10.16
1138,10.340236,9.83
1139,10.428266,9.96
1140,10.371272,9.96
1141,10.169286,9.49
1142,9.905643,9.49
1143,9.643033,9.23
1144,9.417612,9.23
1145,9.2366905,9.15
1146,9.09059,9.05
1147,8.967777,9.02
1148,8.643439,9.02
1149,8.275173,7.26
1150,8.121145,7.26
1151,8.111412,6.63
1152,0.2754943,6.62
1153,0.4790213,6.6
1154,0.79370016,6.6
1155,1.261034,6.53
1156,1.9319911,6.53
1157,2.8630366,6.52
1158,4.1013527,6.52
1159,5.587805,6.57
1160,6.99174,6.57
1161,7.8673472,6.67
1162,8.152335,6.76
1163,8.10214,8.99
1164,7.940205,9.06
1165,7.826605,9.02
1166,7.7603927,9.02
1167,7.700114,7.66
1168,7.6728873,7.66
1169,7.6597023,6.69
1170,7.642047,6.69
1171,7.612846,6.45
1172,7.569601,6.45
1173,7.520555,6.44
1174,7.476216,6.41
1175,7.4503407,6.09
1176,7.4580846,6.09
1177,7.511666,6.23
1178,7.6191144,6.23
1179,7.780767,6.24
1180,7.9874473,6.24
1181,8.221819,6.49
1182,8.462806,6.49
1183,8.689328,6.8
1184,8.8842125,6.8
1185,9.036771,9.11
1186,9.143597,9.11
1187,9.206887,9.32
1188,9.231971,9.32
1189,9.2253,9.15
1190,9.192979,9.15
1191,9.140145,9.1
1192,9.0704565,9.03
1193,8.986693,8.98
1194,8.890228,8.85
1195,8.781731,7.89
1196,8.667748,7.89
1197,8.554106,7.32
1198,8.447713,7.32
1199,8.358825,6.78
1200,0.2754943,6.7
1201,0.4790213,6.69
1202,0.79370016,6.62
1203,1.3391211,6.62
1204,2.2473664,6.59
1205,3.5975823,6.54
1206,5.4314537,6.54
1207,7.2979045,6.62
1208,8.350426,6.62
