Unnamed: 0,year,month,day,hour,Pressure,temperature,u-component of wind,v-component of wind,Relative humidity,Total cloud cover,Total precipitation,radiation flux
,2022,8,10,7.5,1007.3947448730468,29.142205810546898,1.968766212463379,3.247380018234253,77.05938148498535,31.103515625,0.0,282.2799583077431
,2022,8,10,8.0,1007.4932861328124,29.750543212890648,2.1281986236572266,3.307211399078369,74.78039932250977,33.69140625,0.0,365.6585445404053
,2022,8,10,8.5,1007.42333984375,30.27657470703128,2.088599681854248,3.4755117893218994,72.81783866882324,37.548828125,0.0,428.9311988353729
,2022,8,10,9.0,1007.3533935546876,30.802606201171898,2.049000740051269,3.6438121795654297,70.85527801513672,41.40625,0.0,492.2038531303406
,2022,8,10,9.5,1007.367156982422,31.351739501953148,2.113580703735352,3.719883441925049,68.89592933654785,37.9638671875,0.0,552.1405656337738
,2022,8,10,10.0,1007.3809204101562,31.9008728027344,2.1781606674194336,3.795954704284668,66.93658065795898,34.521484375,0.0,612.077278137207
,2022,8,10,10.5,1007.1907348632812,32.38533935546877,2.226283550262451,3.9553515911102295,65.39598655700684,35.9130859375,0.0,680.0824432373047
,2022,8,10,11.0,1007.0005493164062,32.86980590820315,2.2744064331054688,4.114748477935791,63.85539245605469,37.3046875,0.0,748.0876083374023
,2022,8,10,11.5,1006.8352966308594,33.15773925781252,2.2739453315734863,4.203042268753052,62.61284732818604,38.623046875,0.0,778.3336544036865
,2022,8,10,12.0,1006.6700439453124,33.4456726074219,2.273484230041504,4.2913360595703125,61.37030220031738,39.94140625,0.0,808.5797004699707
,2022,8,10,12.5,1006.5650634765624,33.58669433593752,2.24341344833374,4.379003286361694,60.72396945953369,38.9892578125,0.0,800.897536277771
,2022,8,10,13.0,1006.4600830078124,33.72771606445315,2.213342666625977,4.466670513153076,60.07763671875,38.037109375,0.0,793.2153720855713
,2022,8,10,13.5,1006.3477172851562,33.61200866699221,2.1456823348999023,4.507693290710449,60.45180797576904,34.9365234375,0.0,762.2581758499146
,2022,8,10,14.0,1006.2353515625,33.49630126953127,2.078022003173828,4.548716068267822,60.825979232788086,31.8359375,0.0,731.3009796142578
,2022,8,10,14.5,1006.337646484375,33.20398864746096,2.072695255279541,4.417855978012085,61.53246212005615,29.2724609375,0.0,660.4354605674744
,2022,8,10,15.0,1006.43994140625,32.91167602539065,2.067368507385254,4.286995887756348,62.23894500732422,26.708984375,0.0,589.5699415206909
,2022,8,10,15.5,1006.5524291992188,32.46944580078127,1.8789916038513184,4.232426881790161,63.79883003234863,21.826171875,0.0,493.6165509223938
,2022,8,10,16.0,1006.6649169921876,32.0272155761719,1.6906147003173828,4.177857875823975,65.35871505737305,16.943359375,0.0,397.6631603240967
,2022,8,10,16.5,1006.694580078125,31.578973388671898,1.5008420944213867,4.11000394821167,66.8028154373169,16.7724609375,0.0,326.372332572937
,2022,8,10,17.0,1006.7242431640624,31.130731201171898,1.3110694885253906,4.042150020599365,68.24691581726074,16.6015625,0.0,255.0815048217773
,2022,8,10,17.5,1006.856414794922,30.55402526855471,1.232494831085205,4.005912780761719,70.34141635894775,14.794921875,0.0,179.27538859844208
,2022,8,10,18.0,1006.9885864257812,29.977319335937523,1.1539201736450195,3.969675540924072,72.43591690063477,12.98828125,0.0,103.4692723751068
,2022,8,10,18.5,1007.1357421875,29.545510864257835,1.0909452438354492,3.864919900894165,74.66931438446045,10.7666015625,0.0,56.515886187553406
,2022,8,10,19.0,1007.2828979492188,29.113702392578148,1.027970314025879,3.760164260864258,76.90271186828613,8.544921875,0.0,9.5625
,2022,8,10,19.5,1007.6038818359376,28.89393005371096,1.0109796524047852,3.619966745376587,77.79477214813232,15.91796875,0.0,4.78125
,2022,8,10,20.0,1007.9248657226562,28.674157714843773,0.9939889907836914,3.479769229888916,78.68683242797852,23.291015625,0.0,0.0
,2022,8,10,20.5,1007.9622192382812,28.513528442382835,0.967111110687256,3.4669628143310547,79.34143161773682,23.92578125,0.0,0.0
,2022,8,10,21.0,1007.9995727539062,28.352899169921898,0.9402332305908204,3.4541563987731934,79.99603080749512,24.560546875,0.0,0.0
,2022,8,10,21.5,1007.9626159667968,28.242837524414085,1.0563406944274902,3.372412919998169,79.78808975219727,16.8212890625,0.0,0.0
,2022,8,10,22.0,1007.9256591796876,28.13277587890628,1.1724481582641602,3.2906694412231445,79.58014869689941,9.08203125,0.0,0.0
,2022,8,10,22.5,1008.0183410644532,28.048394775390648,1.2842202186584473,3.10333251953125,79.52210712432861,13.9892578125,0.0,0.0
,2022,8,10,23.0,1008.1110229492188,27.964013671875023,1.3959922790527344,2.9159955978393555,79.46406555175781,18.896484375,0.0,0.0
