year,month,day,hour,temp,rain,weather,PVout[kW],price[yen/kW30m]
2019,11,13,21.5,14.8,0,4,0,8.99
2019,11,13,22,15.3,0,4,0,9.07
2019,11,13,22.5,15.3,0,4,0,9.07
2019,11,13,23,15.9,0,4,0,8.99
2019,11,13,23.5,15.9,0,4,0,8.99
2019,11,14,0,18.6,0,2,0,6.96
2019,11,14,0.5,18.6,0,2,0,6.96
2019,11,14,1,18.8,0,2,0,6.72
2019,11,14,1.5,18.8,0,2,0,6.72
2019,11,14,2,19.3,0,4,0,6.72
2019,11,14,2.5,19.3,0,4,0,6.72
2019,11,14,3,19.3,0,10,0,6.79
2019,11,14,3.5,19.3,0,10,0,6.79
2019,11,14,4,18.9,0,4,0,6.92
2019,11,14,4.5,18.9,0,4,0,6.92
2019,11,14,5,19.7,0,4,0,7.2
2019,11,14,5.5,19.7,0,4,0,7.04
2019,11,14,6,19,0,10,0,9.08
2019,11,14,6.5,19,0,10,-0.015,9.03
2019,11,14,7,18.9,0,4,-0.015,9.55
2019,11,14,7.5,18.9,0,4,0.046,10
2019,11,14,8,18.9,0,10,0.109,10.8
2019,11,14,8.5,18.9,0,10,0.25,10.8
2019,11,14,9,19.8,0,4,0.357,11.69
2019,11,14,9.5,19.8,0,4,0.434,10.8
2019,11,14,10,20.3,0,4,0.386,10.8
2019,11,14,10.5,20.3,0,4,0.512,10.8
2019,11,14,11,21.1,0,4,1.502,9.15
2019,11,14,11.5,21.1,0,4,0.484,8.91
2019,11,14,12,19.8,0,2,1.241,6.6
2019,11,14,12.5,19.8,0,2,1.224,6.6
2019,11,14,13,21.1,0,2,1.126,6.69
2019,11,14,13.5,21.1,0,2,1.001,6.81
2019,11,14,14,22,0,2,0.882,7.27
2019,11,14,14.5,22,0,2,0.785,7.38
2019,11,14,15,21.8,0,2,0.289,8.9
2019,11,14,15.5,21.8,0,2,0.48,8.99
2019,11,14,16,21.1,0,4,0.242,9.73
2019,11,14,16.5,21.1,0,4,0.026,9.8
2019,11,14,17,20.3,0,4,-0.03,12.53
2019,11,14,17.5,20.3,0,4,0,12.53
2019,11,14,18,19.3,0,4,0,10.32
2019,11,14,18.5,19.3,0,4,0,10.32
2019,11,14,19,18.6,0,2,0,9.7
2019,11,14,19.5,18.6,0,2,0,9.32
2019,11,14,20,16.4,0,2,0,9.07
2019,11,14,20.5,16.4,0,2,0,9.07
2019,11,14,21,14.9,0,2,0,8.99
2019,11,14,21.5,14.9,0,2,0,8.99
2019,11,14,22,13.6,0,2,0,9.35
2019,11,14,22.5,13.6,0,2,0,9.35
2019,11,14,23,13.1,0,2,0,8.74
2019,11,14,23.5,13.1,0,2,0,8.74
2019,11,15,0,13,0,2,0,7.4
2019,11,15,0.5,13,0,2,0,7.03
2019,11,15,1,12.7,0,2,0,6.86
2019,11,15,1.5,12.7,0,2,0,6.86
2019,11,15,2,12.4,0,2,0,6.86
2019,11,15,2.5,12.4,0,2,0,6.88
2019,11,15,3,12.1,0,2,0,6.99
2019,11,15,3.5,12.1,0,2,0,6.99
2019,11,15,4,11.6,0,2,0,8.05
2019,11,15,4.5,11.6,0,2,0,8.05
2019,11,15,5,11.5,0,2,0,7.77
2019,11,15,5.5,11.5,0,2,0,7.77
2019,11,15,6,11,0,2,0,11.66
2019,11,15,6.5,11,0,2,-0.015,11.38
2019,11,15,7,11.2,0,2,0.081,10
2019,11,15,7.5,11.2,0,2,0.183,9.55
2019,11,15,8,12.3,0,2,0.481,8.91
2019,11,15,8.5,12.3,0,2,0.754,9.02
2019,11,15,9,12.5,0,2,0.983,7.36
2019,11,15,9.5,12.5,0,2,0.778,7.24
2019,11,15,10,13.6,0,2,0.579,6.67
2019,11,15,10.5,13.6,0,2,1.206,6.59
2019,11,15,11,16.5,0,2,0.494,6.42
2019,11,15,11.5,16.5,0,2,1.473,6.42
2019,11,15,12,15.6,0,2,1.377,6.13
2019,11,15,12.5,15.6,0,2,0.31,6.13
2019,11,15,13,15.8,0,4,1.139,6.34
2019,11,15,13.5,15.8,0,4,1.022,6.59
2019,11,15,14,16.8,0,2,0.91,7.2
2019,11,15,14.5,16.8,0,2,0.754,7.35
2019,11,15,15,16.4,0,2,0.578,8.85
2019,11,15,15.5,16.4,0,2,0.373,9.24
2019,11,15,16,16.3,0,2,0.16,11.64
2019,11,15,16.5,16.3,0,2,0.011,13.59
2019,11,15,17,15.7,0,2,-0.029,13.34
2019,11,15,17.5,15.7,0,2,0,13.34
2019,11,15,18,14.9,0,2,0,12.53
2019,11,15,18.5,14.9,0,2,0,12.53
2019,11,15,19,14.6,0,2,0,11.84
2019,11,15,19.5,14.6,0,2,0,11.84
2019,11,15,20,13.8,0,2,0,10.08
2019,11,15,20.5,13.8,0,2,0,10.08
2019,11,15,21,13.2,0,2,0,10.65
2019,11,15,21.5,13.2,0,2,0,10.54
2019,11,15,22,13.2,0,2,0,10.32
2019,11,15,22.5,13.2,0,2,0,10.32
2019,11,15,23,11.8,0,2,0,9.18
2019,11,15,23.5,11.8,0,2,0,9.18
2019,11,16,0,11.7,0,2,0,7.21
2019,11,16,0.5,11.7,0,2,0,7.09
